SpawnPoint_180012 | -157.889, -2.935, 109.110 | 0.000, 178.825, 0.000
SpawnPoint_180027 | -158.185, -2.935, 98.571 | 0.000, 180.625, 0.000
SpawnPoint_180029 | -158.243, -2.935, 91.073 | 0.000, 180.025, 0.000
SpawnPoint_180032 | -158.208, -2.983, 83.706 | 0.000, 179.575, 0.000
SpawnPoint_180034 | -158.139, -2.935, 76.123 | 0.000, 179.375, 0.000
SpawnPoint_180036 | -158.088, -2.935, 70.381 | 0.000, 179.875, 0.000
SpawnPoint_180038 | -158.092, -2.935, 63.773 | 0.000, 180.225, 0.000
SpawnPoint_180040 | -158.167, -2.935, 57.328 | 0.000, 180.275, 0.000
SpawnPoint_180042 | -158.164, -2.935, 50.125 | 0.000, 176.525, 0.000
SpawnPoint_180044 | -156.452, -2.935, 42.812 | 0.000, 153.625, 0.000
SpawnPoint_180047 | -150.508, -2.935, 35.964 | 0.000, 129.225, 0.000
SpawnPoint_180049 | -145.718, -2.935, 31.417 | 0.000, 143.125, 0.000
SpawnPoint_180051 | -140.979, -2.935, 26.533 | 0.000, 123.925, 0.000
SpawnPoint_180054 | -132.326, -2.935, 24.559 | 0.000, 86.525, 0.000
SpawnPoint_180056 | -125.174, -2.935, 26.436 | 0.000, 44.025, 0.000
SpawnPoint_180059 | -122.433, -2.935, 33.579 | 0.000, 4.075, 0.000
SpawnPoint_180101 | -122.107, -2.935, 40.611 | 0.000, 2.675, 0.000
SpawnPoint_180103 | -122.141, -2.935, 47.866 | 0.000, 359.125, 0.000
SpawnPoint_180105 | -122.058, -2.935, 55.502 | 0.000, 2.525, 0.000
SpawnPoint_180108 | -121.982, -2.935, 63.680 | 0.000, 359.325, 0.000
SpawnPoint_180110 | -122.065, -2.978, 70.775 | 0.000, 359.325, 0.000
SpawnPoint_180113 | -121.215, -2.935, 78.561 | 0.000, 60.025, 0.000
SpawnPoint_180115 | -113.875, -2.970, 76.916 | 0.000, 108.525, 0.000
SpawnPoint_180121 | -111.138, -2.996, 82.808 | 0.000, 293.025, 0.000
SpawnPoint_180126 | -124.322, -2.935, 88.042 | 0.000, 299.324, 0.000
SpawnPoint_180128 | -131.080, -2.935, 90.356 | 0.000, 287.924, 0.000
SpawnPoint_180130 | -138.758, -2.935, 93.010 | 0.000, 290.124, 0.000
SpawnPoint_180133 | -145.510, -2.935, 95.354 | 0.000, 286.024, 0.000
SpawnPoint_180135 | -150.785, -2.935, 98.271 | 0.000, 346.874, 0.000
SpawnPoint_180137 | -150.789, -2.935, 105.521 | 0.000, 3.374, 0.000
SpawnPoint_180139 | -150.420, -2.935, 111.685 | 0.000, 3.674, 0.000
SpawnPoint_180141 | -150.081, -2.935, 118.237 | 0.000, 33.774, 0.000
