SpawnPoint_161947 | -154.322, -3.025, 128.581 | 0.000, 1.125, 0.000
SpawnPoint_162017 | -67.384, -4.648, 151.865 | 0.000, 358.575, 0.000
SpawnPoint_162029 | -38.532, -3.025, 168.934 | 0.000, 359.125, 0.000
SpawnPoint_162048 | -12.439, -2.965, 132.748 | 0.000, 88.675, 0.000
SpawnPoint_162106 | -5.622, 1.090, 100.492 | 0.000, 0.425, 0.000
SpawnPoint_162118 | -9.935, 5.165, 85.454 | 0.000, 357.975, 0.000
SpawnPoint_162216 | -71.717, -1.535, -34.681 | 0.000, 2.574, 0.000
SpawnPoint_162250 | 25.006, 1.150, -79.638 | 0.000, 95.924, 0.000
SpawnPoint_162314 | 43.890, 1.015, -14.753 | 0.000, 180.674, 0.000
SpawnPoint_162339 | 60.207, 1.065, 83.762 | 0.000, 89.724, 0.000
SpawnPoint_162409 | 128.993, 0.975, 78.082 | 0.000, 179.624, 0.000
SpawnPoint_162426 | 155.140, 0.975, 21.019 | 0.000, 58.674, 0.000
SpawnPoint_163146 | -56.671, 0.975, 90.884 | 0.000, 269.775, 0.000
SpawnPoint_163156 | -52.377, -1.298, 44.631 | 0.000, 179.575, 0.000
SpawnPoint_163241 | 60.355, 0.975, 1.057 | 0.000, 161.575, 0.000
SpawnPoint_163315 | 118.671, 1.065, 41.492 | 0.000, 178.925, 0.000
SpawnPoint_163326 | 101.483, 1.063, 32.918 | 0.000, 89.675, 0.000
SpawnPoint_163349 | 13.304, 1.065, 70.279 | 0.000, 270.374, 0.000
SpawnPoint_164122 | -172.914, -2.935, 87.436 | 0.000, 357.475, 0.000
SpawnPoint_164143 | -123.335, -4.335, 19.031 | 0.000, 89.175, 0.000
SpawnPoint_164155 | -138.830, -2.935, 57.374 | 0.000, 359.025, 0.000
SpawnPoint_164211 | -113.379, -2.935, 97.109 | 0.000, 330.274, 0.000
SpawnPoint_164221 | -97.775, -3.052, 62.307 | 0.000, 146.824, 0.000
SpawnPoint_164411 | -137.601, -2.346, 107.636 | 0.000, 358.924, 0.000
SpawnPoint_164442 | -41.613, 1.065, 71.130 | 0.000, 358.024, 0.000
SpawnPoint_164501 | -9.446, 1.065, 32.409 | 0.000, 85.824, 0.000
SpawnPoint_164513 | 10.550, -3.554, 5.856 | 0.000, 71.124, 0.000
SpawnPoint_164528 | 43.406, 1.065, 22.910 | 0.000, 1.374, 0.000
SpawnPoint_164557 | -27.389, 0.994, -78.751 | 0.000, 208.274, 0.000
SpawnPoint_164633 | -25.197, 5.083, -112.819 | 0.000, 308.723, 0.000
SpawnPoint_164653 | 64.503, 4.964, -119.730 | 0.000, 178.973, 0.000
SpawnPoint_164711 | 113.448, 4.223, -68.750 | 0.000, 79.523, 0.000
SpawnPoint_164756 | 147.507, 4.975, -104.849 | 0.000, 87.973, 0.000
SpawnPoint_164809 | 163.491, 10.990, -67.856 | 0.000, 357.122, 0.000
SpawnPoint_100648 | -30.755, 1.064, 99.122 | 0.000, 90.450, 0.000
